Lähde,Vuosi,Tekijät,Otsikko,DOI
Crossref,2011,Ei tietoa,Finite Field,https://doi.org/10.1007/springerreference_270
Crossref,2023,Ei tietoa,Light-front field theories at finite temperature,https://doi.org/10.1142/9789811272356_0007
Crossref,2010,ZINN-JUSTIN,Field Theory in a Finite Geometry: Finite Size Scaling,https://doi.org/10.1093/acprof:oso/9780198509233.003.0037
Crossref,2017,Katz,The Situation over a Finite Field,https://doi.org/10.23943/princeton/9780691153308.003.0005
Crossref,2015,Ei tietoa,Chapter Eight. Rational points and places over a finite field,https://doi.org/10.1515/9781400847419-009
